pca1,pca2,t+1 (prediction)
-0.4450005917529579,0.0004614950079889531,12250.0
-0.4443649442602502,-0.000706683789019447,13100.0
-0.43832508076941784,-0.0077158530175289956,12650.0
-0.43482660235320475,-0.0030434741751577225,12750.0
-0.43164793603656443,0.002796885144209738,12500.0
-0.43546266531720884,0.0012396602685009984,12700.0
-0.435145197694368,0.00046085352103046535,12800.0
-0.4348271647295923,-0.002264774408756125,12900.0
-0.4322837734716375,-0.0014861867309440423,13000.0
-0.4303762285453978,-0.0014863066805421968,13650.0
-0.42497206744673444,-0.005769806240298226,13450.0
-0.4214740416079906,-0.003433709375017083,13500.0
-0.4182950666534271,0.0012385546252766224,13400.0
-0.419884532612074,0.000459920021085836,12950.0
-0.42306342742319253,0.004353888436445337,13200.0
-0.42497167866536595,0.0016283308562812233,12950.0
-0.42783248264670254,7.105905419377784e-05,12850.0
-0.42846849071124743,0.0027967026261066044,12850.0
-0.43069405674007366,0.0008499648418333833,12950.0
-0.43069415467680255,-0.0007075390783328333,12950.0
-0.43005820447726395,-0.0007075703625853031,13050.0
-0.42878660975056293,-0.0007076590279310284,13000.0
-0.4284685337485174,-0.00031829216580550775,13150.0
-0.4271970399240924,-0.0007077633354029676,13000.0
-0.4275146603831212,7.103036364716064e-05,13100.0
-0.4268790677898704,0.00046034243838529934,13000.0
-0.42783263548289047,7.104600577339554e-05,13100.0
-0.42719699095572794,7.098862468016108e-05,13200.0
-0.42656113869291823,-0.0014865465797385658,13500.0
-0.4233820969767062,-0.003044259114848681,13750.0
-0.41924902905891015,-0.004212636072085747,13750.0
-0.41575161456491855,-0.0018765914004861132,13200.0
-0.4176586149080545,0.004353557278197411,12900.0
-0.42306358619047524,0.006690118219853919,12850.0
-0.4287864658110167,0.0027967182682328397,12900.0
-0.4306941057084381,7.121288175027568e-05,12950.0
-0.43037617957703334,-0.000707554720459068,12550.0
-0.432283274891351,0.002796968622143719,12550.0
-0.43450915252364786,0.0031864475728587156,12400.0
-0.4380061604429871,0.0012398115023516225,12300.0
-0.4395958341372812,0.002018654721486347,12300.0
